제목,방송 기간,방송 시간,방송 횟수,장르,채널,방송 시작
리치맨,  2018년 5월 9일 ~ 2018년 6월 28일 ,"  수요일, 목요일 오후 11시 00분 ~ ",  16부작 ,,  Dramax ｜ MBN ,2018-05-09 00:00:00
천사의유혹, 2009년 10월 12일 ~ 2009년 12월 22일 ," 월요일, 화요일 밤 8시 50분 ~ 10시 ", 21부작 ,, SBS ,2009-10-12 00:00:00
훈장오순남,  2017년 4월 24일 ~ 2017년 10월 20일 ,  월요일 ~ 금요일 오전 7시 50분 ~ 8시 30분 ,  129부작 ,,  문화방송 ,2017-04-24 00:00:00
떼루아,  2008년 12월 1일 ~ 2009년 2월 17일 ,"  월요일, 화요일 오후 9:55~ ",  20부작 ,,  SBS ,2008-12-01 00:00:00
자명고,  2009년 3월 10일 ~ 2009년 7월 21일 ,"  월요일, 화요일 오후 9:55~ ",  39부작 ,,  SBS ,2009-03-10 00:00:00
연애조작단;시라노,  2013년 5월 27일 ~ 2013년 7월 16일 ,"  월요일, 화요일 오후 11:00~ ",  16부작 ,, tvN ,2013-05-27 00:00:00
고맙습니다,  2007년 3월 21일 ~ 2007년 5월 10일 ,"  수요일, 목요일 밤 9시 55분 ~ 11시 5분 ",  16부작 ,  드라마 ,  문화방송 ,2007-03-21 00:00:00
모두의거짓말,  2019년 10월 12일 ~ 2019년 12월 1일 ,"  토요일, 일요일 오후 10시 30분 ~ ",  16부작 ,,  OCN ,2019-10-12 00:00:00
스마일어게인,  2006년 5월 17일 ~ 7월 6일 ,"  수, 목 21:55 ~ 23:05 ",  16부작 ,,  SBS ,2006-05-17 00:00:00
맨투맨,  2017년 4월 21일 ~ 2017년 6월 10일 ,"  금요일, 토요일 밤 11시 ",  16부작 ,"  액션, 첩보, 코미디 ",  JTBC ,2017-04-21 00:00:00
예쁜남자,  2013년 11월 20일 ~ 2014년 1월 9일 ,"  수요일, 목요일 오후 10시 ",  16부작 ,,  KBS 2TV ,2013-11-20 00:00:00
훈남정음,  2018년 5월 23일 ~ 2018년 7월 19일  ,"  수요일, 목요일 오후 10:00 ~ 11:10 ",  32부작 ,  로맨틱 코미디 ,  SBS ,2018-05-23 00:00:00
풍문으로들었소,  2015년 2월 23일 ~ 2015년 6월 2일 ,"  월요일, 화요일 오후 10:00~ ",  30부작 ,  블랙 코미디 ,  SBS ,2015-02-23 00:00:00
시티홀,  2009년 4월 29일 ~ 2009년 7월 2일 ,"  수요일, 목요일 오후 9시 55분 ~ 10시 55분 ",  20부작 ,,  SBS ,2009-04-29 00:00:00
스타의연인,  2008년 12월 10일 ~ 2009년 2월 12일 ,"  수요일, 목요일 오후 9:55~ ",  20부작 ,,  SBS ,2008-12-10 00:00:00
펀치,  2014년 12월 15일 ~ 2015년 2월 17일 ,"  월요일, 화요일 오후 10시 00분 ~ 11시 00분 ",  19부작 ,,  SBS ,2014-12-15 00:00:00
유령을잡아라,  2019년 10월 21일 ~ 2019년 12월 10일 ,"  월요일, 화요일 오후 9:30 ~ ", 16부작 ,,  tvN ,2019-10-21 00:00:00
공부의신,  2010년 1월 4일 ~ 2010년 2월 23일 ,"  월요일, 화요일 밤 09:55~11:05 ",  16부작 ,,  KBS ,2010-01-04 00:00:00
위대한유산,,,  17부작 ,  드라마 ,  KBS 2TV ,unknown
결혼못하는남자,  2009년 6월 15일 ~ 2009년 8월 4일 ,"  월요일, 화요일 오후 09:55 ~ 11:05 ",  16부작 ,,  후지 테레비   KBS 2TV ,2009-06-15 00:00:00
왔다!장보리,  2014년 4월 5일 ~ 2014년 10월 12일 ,"  토요일, 일요일 밤 8시 45분 ~ 9시 55분 ",  52부작 ,"  막장 드라마, 아유월드 ",  문화방송 ,2014-04-05 00:00:00
원티드,  2016년 6월 22일 ~ 2016년 8월 18일 ,"  수요일, 목요일 밤 10시 ~ ",  16부작 ,,  SBS ,2016-06-22 00:00:00
마이걸, 2005년 12월 14일 ~ 2006년 2월 2일," 매주 수요일, 목요일 밤 10시", 16부작,, SBS,2005-12-14 00:00:00
사랑의불시착,  2019년 12월 14일 ~ 2020년 2월 16일,"  매주 토요일, 일요일 밤 9시 10분 ~ 10시 40분(90분) ",  16부작 + 스페셜 3부작 ,  로맨스 ,,2019-12-14 00:00:00
연인,   2006년 11월 8일 ~ 2007년 1월 17일 ,"  수요일, 목요일 오후 9:55~ ",  20부작 ,,  SBS ,2006-11-08 00:00:00
저스티스,  2019년 7월 17일 ~ 2019년 9월 5일  ,"  매주 수요일, 목요일 밤 10:00 ~ 11:10 ",  32부작 ,  스릴러 ,  KBS 2TV ,2019-07-17 00:00:00
구르미그린달빛,  2016년 8월 22일 ~  2016년 10월 18일  ,"  월요일, 화요일 오후 10시 00분 ~ ","  18부작, 특별판 3부작, 별전 1부작 ",,  KBS 2TV ,2016-08-22 00:00:00
퍼퓸,  2019년 6월 3일 ~ 2019년 7월 23일 ,"  매주 월요일, 화요일 밤 10:00 ~ 11:10 ",  32부작 ,"  판타지, 로맨틱 코미디 ",  KBS 2TV ,2019-06-03 00:00:00
일단뜨겁게청소하라!!,  2018년 11월 26일 ~ 2019년 2월 4일 ,"  월요일, 화요일 오후 9시 30분 ",  16부작 ,  로맨틱 코미디 ,,2018-11-26 00:00:00
스케치,  2018년 5월 25일 ~ 2018년 7월 14일 ,"  금요일, 토요일 오후 11시 ",  16부작 ,  액션 ,  JTBC ,2018-05-25 00:00:00
불어라미풍아,  2016년 8월 27일 ~ 2017년 2월 26일 ,"  토요일, 일요일 밤 8시 45분 ",  53부작 ,  막장 드라마 ,  문화방송 ,2016-08-27 00:00:00
나쁜사랑,  ON AIR 2019년 12월 2일 ~  2020년 5월 25일 (예정), 월요일 ~ 금요일 오전 7시 50분 ~ 8시 30분,  120부작 (예정)  ,,  문화방송 ,unknown
위대한조강지처,  2015년 6월 15일 ~ 2015년 12월 4일 ,  월요일 ~ 금요일 오후 7시 15분 ,  121부작 ,  막장 드라마 ,  문화방송 ,2015-06-15 00:00:00
아직도결혼하고싶은여자,  2010년 1월 20일 ~2010년 3월 11일 ,"  수요일, 목요일 오후 09:55 ~ 11:05 ",  16부작 ,  드라마 ,  문화방송 ,2010-01-20 00:00:00
