제목,방송 기간,방송 시간,방송 횟수,장르,채널,방송 시작
위대한쇼, 2019년 8월 26일 ~ 2019년 10월 15일," 매주 월요일, 화요일 밤 9시 30분", 16부작, 드라마, tvN,2019-08-26 00:00:00
로맨스가필요해, 2011년 6월 13일 ~ 2011년 8월 2일," 월요일, 화요일 오후 11시 ~ 12시", 16부작, 로맨스, tvN,2011-06-13 00:00:00
구해줘2, 2019년 5월 8일 ~ 2019년 6월 27일," 매주 수요일, 목요일 밤 11시", 16부작," 범죄, 스릴러", OCN (텔레비전 채널),2019-05-08 00:00:00
모두의거짓말, 2019년 10월 12일 ~ 2019년 12월 1일," 토요일, 일요일 밤 10시 30분 ~ 11시 50분", 16부작, , OCN (방송),2019-10-12 00:00:00
소설목민심서, 2000년 5월 1일 ~ 2000년 10월 12일, 소설 목민심서방송 기간 및 방송 시간, 60부작, 드라마, KBS 2TV,2000-05-01 00:00:00
마의, 2012년 10월 1일 ~ 2013년 3월 25일," 월요일, 화요일 밤 9시 55분", 50부작 + 스페셜 1부작, 퓨전사극, MBC TV,2012-10-01 00:00:00
사랑은뷰티풀인생은원더풀, 2019년 9월 28일 ~ 2020년 3월 22일, 주말 저녁 7시 55분 ~ 밤 9시 15분, 100부작 + 스페셜 4부작," 가족, 로맨틱 코미디", KBS 2TV,2019-09-28 00:00:00
솔약국집아들들, 2009년 4월 11일 ~ 2009년 10월 11일, 주말 저녁 7시 55분 ~ 9시 5분, 54부작, 텔레비전 드라마, KBS 제2TV,2009-04-11 00:00:00
장미와콩나물, 1999년 3월 13일 ~ 1999년 9월 5일," 토요일, 일요일 밤 (시간) 8시 ~ 9시", 51부작, 텔레비전 드라마, 문화방송,1999-03-13 00:00:00
길위의여자, 1996년 10월 21일 ~ 1997년 3월 1일, 매주 월~토요일 오전 9시, 110부작, 텔레비전 드라마, 문화방송,1996-10-21 00:00:00
대왕의길, 1998년 4월 15일 ~ 1998년 8월 13일, 수~목 오후 9시 55분, 34부작, 사극, MBC,1998-04-15 00:00:00
맛을보여드립니다, 1999년 9월 13일 ~ 2000년 2월 28일," 월요일, 화요일 밤 (시간) 9시 55분 ~ 10시 55분", 50부작, 드라마, SBS,1999-09-13 00:00:00
인수대비, 2011년 12월 3일 ~ 2012년 6월 24일," 토요일, 일요일 오후 8시 50분 ~ 10시", 60부작뉴스 인용, 텔레비전 드라마, JTBC(종합편성채널),2011-12-03 00:00:00
트리플, 2009년 6월 11일 ~ 2009년 7월 30일," 수요일, 목요일 밤 (시간)9시 55분 ~ 11시 5분", 16부작, 텔레비전 드라마, 문화방송,2009-06-11 00:00:00
써치, , , 10부작 (예정), 미스터리 스릴러, OCN (텔레비전 채널),unknown
연애를기대해, 2013년 9월 11일 ~ 2013년 9월 12일," 수요일, 목요일 밤 10시", 2부작, 로맨스, KBS 제2TV,2013-09-11 00:00:00
낯선사람, 2013년 11월 3일, 밤 8시 45분, 2부작, 텔레비전 드라마, SBS,2013-11-03 00:00:00
후아유, 2013년 7월 29일 ~ 2013년 9월 17일," 월요일, 화요일 오후 11시 10분", 16부작, 텔레비전 드라마, tvN,2013-07-29 00:00:00
여자가사랑할때, 1996년 3월 4일 ~ 1996년 6월 8일, 매주 월·토요일 오전 8시 55분, , 텔레비전 드라마, KBS 2TV,1996-03-04 00:00:00
자명고, 2009년 3월 10일 ~ 2009년 7월 21일,, 39부작, 퓨전 대하드라마, SBS,2009-03-10 00:00:00
장희빈, 1995년 2월 20일 ~ 1995년 9월 26일," 월, 화 밤 9시 50분(첫 회 ~ 1995년 4월 11일+ 1995년 7월 10일 ~ 마지막회), 8시 50분(1995년 4월 17일 ~ 7월 3일)", 63부작, 사극, SBS,1995-02-20 00:00:00
비련초, 1992년 8월 17일 ~ 1992년 11월 3일," 매주 월,화 밤 9시 50분", 24부작, 드라마, 서울방송,1992-08-17 00:00:00
미워도좋아, 2007년 10월 1일 ~ 2008년 3월 1일, 월요일 ~ 토요일 오전 8시 30분 ~ 9시, 129부작, 드라마, SBS,2007-10-01 00:00:00
말로만중산층, 1991년 8월 5일 ~ 1992년 4월 4일, 월요일 ~ 토요일 오전 9시 20분, 136부작, 텔레비전 드라마, 문화방송,1991-08-05 00:00:00
무림학교, 2016년 1월 11일 ~ 2016년 3월 8일," 월요일, 화요일 밤 (시간) 10시  ~ 11시 10분", 16부작, 드라마, KBS 2TV,2016-01-11 00:00:00
모닥불에바친다, 1992년 11월 2일 ~ 1992년 12월 22일, 매주 월·화요일 저녁 8시 55분, 16부작, 텔레비전 드라마, 서울방송,1992-11-02 00:00:00
사랑하세요?, 1999년 11월 20일 ~ 2000년 3월 19일," 매주 토,일 저녁 7시 55분", 36부작, 드라마 텔레비전 드라마, KBS 2TV,1999-11-20 00:00:00
W, 2016년 7월 20일 ~ 2016년 9월 14일," 매주 수, 목요일 밤 10시", 16부작, 드라마 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악, MBC TV,2016-07-20 00:00:00
임진왜란, 1985년 10월 14일 ~ 1986년 4월 15일, 매주 월·화요일 밤 9시 45분 ~ 10시 45분, 54부작," 드라마, 사극", MBC,1985-10-14 00:00:00
3일의약속, 1991년 5월 13일 ~ 1991년 11월 5일," 월요일, 화요일 밤 (시간) 9시 55분", 50부작, 드라마, 한국방송공사,1991-05-13 00:00:00
고개숙인남자, 1991년 1월 5일 ~ 1991년 5월 5일, 매주 토·일요일 밤 8시, 35부작, 텔레비전 드라마, 문화방송,1991-01-05 00:00:00
