제목,방송 기간,방송 시간,방송 횟수,장르,채널,방송 시작
세번결혼하는여자, 2013년 11월 9일 ~ 2014년 3월 30일," 토요일, 일요일 밤 (시간) 9시 55분 ~ 11시 15분", 40부작뉴스 인용, 가족, SBS,2013-11-09 00:00:00
여자마흔다섯, 1991년 12월 16일 ~ 1992년 1월 14일," 월요일, 화요일 밤 (시간) 8시 55분 ~ 9시 55분", 10부작, 텔레비전 드라마, 서울방송,1991-12-16 00:00:00
아스팔트내고향, 1991년 11월 6일 ~ 1991년 11월 28일," 수요일, 목요일 밤 (시간) 9시 50분", 8부작, 드라마, 한국방송공사,1991-11-06 00:00:00
호텔델루나, 2019년 7월 13일 ~2019년 9월 1일," 매주 토요일, 일요일 밤 9시 10분 ~ 10시 40분", 16부작," 텔레비전 드라마, 판타지, 호러, 연애 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악", tvN,2019-07-13 00:00:00
제2공화국, 1989년 7월 16일 ~ 1990년 4월 29일, , 40부작, 텔레비전 드라마, 문화방송,1989-07-16 00:00:00
빛과그림자, 1985년 4월 24일 ~ 1986년 1월 16일," 수요일, 목요일 밤 (시간) 9시 50분", 76부작, 드라마, 한국방송공사,1985-04-24 00:00:00
개인의취향, 2010년 3월 31일 ~ 2010년 5월 20일," 수요일, 목요일 밤 (시간) 문화방송 수목 미니시리즈", 16부작, 로맨스, MBC TV,2010-03-31 00:00:00
사랑과성공, 1998년 9월 19일 ~ 1999년 3월 7일," 토요일, 일요일 밤 (시간) 8시 ~ 9시", 49부작, 텔레비전 드라마, 문화방송,1998-09-19 00:00:00
49일, 2011년 3월 16일 ~ 2011년 5월 19일," 수요일, 목요일 오후 9시 55분", 20부작, 판타지 드라마, SBS,2011-03-16 00:00:00
날씨가좋으면찾아가겠어요, 2020년 2월 24일 ~ 2020년 4월 21일," 매주 월요일, 화요일 밤 9시 30분 ~ 10시 42분", 16부작, , JTBC,2020-02-24 00:00:00
장사의신-객주2015, 2015년 9월 23일 ~ 2016년 2월 18일," 수요일, 목요일 밤 10시", 41부작, 정통 대하 사극, KBS 2TV,2015-09-23 00:00:00
연인, 1993년 5월 1일 ~ 1993년 10월 17일," 토요일, 일요일 저녁 7시 55분 ~ 8시 55분", 50부작, 드라마, 한국방송공사,1993-05-01 00:00:00
드라마스테이지, 본문 방송 기간 참조,, 30부작, 앤솔러지, tvN,unknown
1%의어떤것, 매주 일요일 오전 9시 50분, 2003년 7월 6일 ~ 2003년 12월 28일, 26부작, 텔레비전 드라마 드라마음악, MBC,unknown
강적들, 2008년 4월 14일 ~ 2008년 6월 3일," 매주 월, 화 밤 9시 55분", 16부작, 텔레비전 드라마, KBS 2TV,2008-04-14 00:00:00
내연애의모든것, 2013년 4월 4일 ~ 2013년 5월 29일," 수요일, 목요일 밤 (시간) 10시", 16부작, 로맨틱 코미디 드라마     , SBS TV,2013-04-04 00:00:00
마왕, 2007년 3월 21일 ~ 2007년 5월 24일," 수, 목 오후 9시 55분", 20부작," 미스터리, 수사물", 한국방송공사,2007-03-21 00:00:00
젊은이의양지, 1995년 5월 6일 ~ 1995년 11월 12일, 토·일요일 저녁 8시, 56부작, 드라마, 한국방송공사,1995-05-06 00:00:00
사건번호113, 2013년 5월 30일, 목요일 오후 10시, 2부작, 텔레비전 드라마, SBS,2013-05-30 00:00:00
어여쁜당신, 2005년 2월 14일 ~ 2005년 9월 23일, 월요일 ~ 금요일 밤 (시간) 8시 25분 ~ 9시, 159부작, 드라마, 한국방송공사,2005-02-14 00:00:00
내생애봄날, 2014년 9월 10일 ~ 2014년 10월 30일," 수요일, 목요일 밤 10시 ~", 16부작, 휴먼 멜로 드라마, MBC TV,2014-09-10 00:00:00
맛있는청혼, 2001년 2월 7일 ~ 2001년 3월 29일, 매주 수 · 목요일 밤 9시 55분, 16부작, 텔레비전 드라마, MBC TV,2001-02-07 00:00:00
가까운골짜기, 1991년 7월 10일 ~ 1991년 8월 1일," 수요일, 목요일 밤 (시간) 9시 50분", 8부작, 드라마, 한국방송공사,1991-07-10 00:00:00
사랑도미움도, 2006년 12월 4일 ~ 2007년 4월 21일, 월요일 ~ 토요일 오전 8시 30분 ~ 9시, 120부작," 드라마, 멜로", SBS (대한민국의 방송사),2006-12-04 00:00:00
당신은누구시길래, 1999년 9월 6일 ~ 2000년 9월 15일, 월요일 ~ 금요일 밤 (시간) 8시 55분 ~ 9시 25분 (1999년 9월 6일 ~ 1999년 10월 15일)월요일 ~ 금요일 밤 (시간) 8시 45분 ~ 9시 15분 (1999년 10월 18일 ~ 2000년 9월 15일), 248부작, 드라마, SBS,1999-09-06 00:00:00
장미의전쟁, 2004년 3월 20일 ~ 2004년 6월 6일," 토요일, 일요일 저녁 7시 55분 ~ 8시 55분", 23부작, 텔레비전 드라마, 문화방송,2004-03-20 00:00:00
불의나라, 1990년 11월 5일 ~ 1991년 2월 5일, , , 텔레비전 드라마, KBS 2TV,1990-11-05 00:00:00
은아의뜰, 1998년 9월 21일 ~ 1999년 4월 3일, 월요일 ~ 토요일 오전 8시 10분, , 드라마, 한국방송공사,1998-09-21 00:00:00
트레인, 1998년 9월 21일 ~ 1999년 4월 3일, 월요일 ~ 토요일 오전 8시 10분, , 드라마, 한국방송공사,1998-09-21 00:00:00
학교2, 1999년 5월 8일 ~ 2000년 2월 27일," 2TV 토요일 오후 7시 : 1회 ~ 24회, 
1TV 일요일 오후 7시 10분: 25회 ~ 42회", 42부작 + 스페셜 1부작, 드라마, 한국방송공사,1999-05-08 00:00:00
선녀와사기꾼, 2003년 6월 4일 ~ 2003년 8월 7일," 매주 수,목 밤 9시 55분", 16부작, 드라마, SBS,2003-06-04 00:00:00
사랑해당신을, 1999년 9월 11일 ~ 1999년 10월 31일, 토·일요일 밤 8시, 16부작, 텔레비전 드라마, 문화방송,1999-09-11 00:00:00
미녀의탄생, 2014년 11월 1일 ~ 2015년 1월 11일," 토요일, 일요일 밤 (시간) 9시 55분 ~ 11시 15분", 21부작, 로맨스      , SBS,2014-11-01 00:00:00
그래도좋아!, 2007년 10월 1일 ~ 2008년 4월 11일, 월요일 ~ 금요일 오전 7시 50분 ~ 8시 30분, 138부작, 드라마, MBC,2007-10-01 00:00:00
인간의땅, 1994년 10월 12일 ~ 1995년 2월 23일," 수요일, 목요일 밤 (시간) 9시 50분 ~ 10시 50분", 40부작, 드라마, KBS 2TV,1994-10-12 00:00:00
꼰대인턴, 2020년 5월 20일 첫방송 예정," 매주 수요일, 목요일 밤 8:55 ~ 10:05", 32부작," 코믹오피스, 휴먼", MBC TV,2020-05-20 00:00:00
연애말고결혼, 2014년 7월 4일 ~ 2014년 8월 23일," 금요일, 토요일 밤 8시 40분", 16부작, 로맨스, tvN,2014-07-04 00:00:00
서울의달," 1994년 1월 8일 ~ 1994년 10월 16일 (본방), 1998년 8월 26일 ~ 12월 31일 (재방)"," 토요일, 일요일 밤 (시간) 8시 ~ 9시 (본방), 월요일 ~ 금요일 오전 8시 10분 - 월요일 ~ 목요일 오전 8시 10분(재방)", 81부작, 드라마 드라마 음악, 문화방송,1994-01-08 00:00:00
흑기사, 2017년 12월 6일 ~ 2018년 2월 8일," 매주 수요일, 목요일 밤 10:00 ~ 11:05", 20부작, 판타지 로맨스, KBS 2TV,2017-12-06 00:00:00
당신이그리워질때, 1993년 9월 13일 ~ 1994년 12월 30일, 월요일 ~ 금요일 밤 (시간) 8시 30분 ~ 9시, 313부작, 드라마, 한국방송공사,1993-09-13 00:00:00
한번더해피엔딩, 2016년 1월 20일 ~ 2016년 3월 10일," 매주 수요일, 목요일 밤 9시 55분", 16부작, 드라마, 문화방송,2016-01-20 00:00:00
떴다!패밀리, 2015년 1월 3일 ~ 2015년 3월 15일, 매주 주말 밤 8시 45분 ~ 9시 55분, 20부작, 휴먼 코미디, SBS TV,2015-01-03 00:00:00
억새바람, 1992년 11월 23일 ~ 1993년 1월 12일," 매주 월,화 밤 9시 50분", 16부작, 드라마, MBC,1992-11-23 00:00:00
머니게임, 2020년 1월 15일 ~ 2020년 3월 5일, 9시 30분 ~ 10시 55분, 16부작, 금융, tvN,2020-01-15 00:00:00
장미의눈물, 1997년 8월 13일 ~ 1997년 10월 2일," 수요일, 목요일 밤 (시간) 9시 45분 ~ 10시 45분", 16부작, 드라마, 서울방송,1997-08-13 00:00:00
"친구,우리들의전설", 2009년 6월 27일 ~ 2009년 8월 30일," 토요일 밤 10시 50분
일요일 밤 10시 40분", 20부작, 텔레비전 드라마 드라마음악 드라마음악, MBC,2009-06-27 00:00:00
우리들의넝쿨, 1995년 4월 5일 ~ 1995년 5월 11일," 수요일, 목요일 밤 (시간) 8시 50분 ~ 9시 55분", 12부작, 드라마, 서울방송,1995-04-05 00:00:00
넌어느별에서왔니, 2006년 3월 13일 ~ 2006년 5월 2일," 매주 월,화 밤 21시 55분", 16부작," 텔레비전 드라마, 멜로", MBC TV,2006-03-13 00:00:00
하늘바라기, 1995년 1월 2일 ~ 1995년 3월 31일, 월요일 ~ 금요일 밤 (시간) 8시 30분 ~ 9시, 63부작, 드라마, 한국방송공사,1995-01-02 00:00:00
아름다운시절, 2007년 11월 12일 ~ 2008년 6월 6일, 월요일 ~ 금요일 오전 7시 50분 ~ 8시 25분, 149부작, 드라마, KBS1,2007-11-12 00:00:00
터치, 2020년 1월 3일 ~ 2020년 2월 22일," 매주 금요일, 토요일 밤 10시 50분 ~ 12시 10분", 16부작, , 채널A,2020-01-03 00:00:00
폼나게살거야, 2011년 9월 17일 ~ 2012년 3월 11일," 토요일, 일요일 밤 (시간) 9시 50분 ~ 11시", 51부작," 텔레비전 드라마, 연속극 드라마 음악 드라마 음악 드라마 음악 드라마 음악 드라마 음악", SBS TV(지상파),2011-09-17 00:00:00
톱스타유백이, 2018년 11월 16일 ~ 2019년 1월 25일, 금요일 밤 11시, 11부작, 드라마, tvN,2018-11-16 00:00:00
겨울지나고봄, 1998년 1월 5일 ~ 1998년 3월 21일,, 62부작, 드라마, 서울방송,1998-01-05 00:00:00
맨땅에헤딩, 2009년 9월 9일 ~ 2009년 11월 4일, 문화방송 수목 미니시리즈, 16부작, 텔레비전 드라마, MBC,2009-09-09 00:00:00
숲속의바람, 1992년 5월 2일 ~ 1992년 10월 11일," 토, 일요일 오후 7시 50분", 48부작, 드라마, KBS2,1992-05-02 00:00:00
장희빈, 1971년 7월 18일 ~ 1972년 1월 29일,, 154부작, 드라마, MBC,1971-07-18 00:00:00
웨딩드레스, 1997년 12월 6일 ~ 1998년 2월 15일," 토요일, 일요일 밤 (시간) 8시 ~ 9시", 22부작, 드라마, KBS 2TV,1997-12-06 00:00:00
인연만들기, 2009년 10월 10일 ~ 2010년 1월 24일," 토요일, 일요일 저녁 7시 55분 ~ 밤 8시 55분", 31부작, 텔레비전 드라마, 문화방송,2009-10-10 00:00:00
철수씨와02, 2018년 2월 15일 ~ 2018년 2월 16일," 목요일, 금요일 오전 11시 20분", 2부작, 텔레비전 드라마, MBN,2018-02-15 00:00:00
"부탁해요,엄마", 2015년 8월 15일 ~ 2016년 2월 14일," 토요일, 일요일 저녁 7시 55분 ~ 밤 (시간) 9시 15분", 54부작," 가족, 휴머니즘 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악", KBS 2TV,2015-08-15 00:00:00
행복한여자, 1989년 7월 8일 ~ 1989년 12월 24일, 매주 토~일 오후 8시, 50부작, 드라마, 문화방송,1989-07-08 00:00:00
순수의시대, 2002년 7월 3일 ~ 2002년 8월 22일, 매주 수 · 목 밤 9시 55분, 16부작, 드라마, SBS TV,2002-07-03 00:00:00
연인, 2006년 11월 8일 ~ 2007년 1월 11일," 수요일, 목요일 밤 (시간) 9시 55분 ~ 11시 5분", 20부작," 멜로, 폭력, 서스펜스", SBS TV,2006-11-08 00:00:00
별에서온그대, 2013년 12월 18일 ~ 2014년 2월 27일," 수요일, 목요일 밤 10시", 21부작 + 스페셜 1부작, SF 로맨틱 코미디 드라마, SBS TV,2013-12-18 00:00:00
흐린날에쓴편지, 1998년 10월 31일 ~ 1999년 2월 7일," 토요일, 일요일 밤 (시간) 8시 50분 ~ 9시 50분", 30부작, 드라마, SBS,1998-10-31 00:00:00
삼김시대, 1998년 2월 28일 ~ 1998년 5월 17일," 토요일, 일요일", 24부작, 드라마, 서울방송,1998-02-28 00:00:00
사랑해사랑해, 1998년 3월 7일 ~ 1998년 8월 2일," 토요일, 일요일 밤 (시간) 8시 50분", 44부작, 드라마, SBS TV,1998-03-07 00:00:00
막돼먹은영애씨3, 2008년 3월 7일 ~ 2008년 6월 20일, 매주 금요일 밤 11시, 16부작, 텔레비전 드라마, tvN,2008-03-07 00:00:00
여자의거울, 1993년 9월 27일 ~ 1994년 2월 12일,, 119부작, 드라마, 서울방송,1993-09-27 00:00:00
오늘부터사랑해, 2015년 4월 6일 ~ 2015년 8월 28일, 월요일 ~ 금요일 저녁 7시 50분 ~ 8시 30분, 101부작, 드라마 · 연속극, KBS 2TV,2015-04-06 00:00:00
보스를지켜라, 2011년 8월 3일 ~ 2011년 9월 29일," 수요일, 목요일 오후 9시 55분", 18부작, 코미디, SBS,2011-08-03 00:00:00
투제니, 2018년 7월 10일 ~ 2018년 7월 17일, 매주 화요일 밤 11:10 ~ 12:20, 2부작, 드라마, KBS 2TV,2018-07-10 00:00:00
유혹, 1996년 10월 14일 ~ 1997년 3월 1일, 월요일 ~ 토요일 오전 8시 30분 ~ 9시, 120부작," 텔레비전 드라마, 에로", KBS 2TV,1996-10-14 00:00:00
그들의포옹, 1996년 2월 26일 ~ 1996년 4월 23일, 매주 월·화요일 밤 9시 50분, 16부작, 드라마, 문화방송,1996-02-26 00:00:00
무정도시, 2013년 5월 27일 ~ 2013년 7월 30일," 매주 월요일, 화요일 밤 (시간) 9시 50분 ~", 20부작, 텔레비전 드라마   , JTBC,2013-05-27 00:00:00
나의나라, 2019년 10월 4일 ~ 2019년 11월 23일," 매주 금요일, 토요일 밤 10시 50분 ~ 12시 20분", 16부작 + 스페셜 1부작, 사극, JTBC,2019-10-04 00:00:00
타인은지옥이다, 2019년 8월 31일 ~ 2019년 10월 6일, 토요일 일요일 밤 10시 30분 ~ 11시 50분, 10부작, , OCN (방송),2019-08-31 00:00:00
유심초, 1991년 12월 16일 ~ 1992년 5월 14일," 월요일 ~ 금요일 밤 (시간) 8시 30분수요일, 목요일 밤 (시간) 9시 55분", 84부작, 사극 드라마, 서울방송 (구 서울방송),1991-12-16 00:00:00
환상의커플, 2006년 10월 14일 ~ 2006년 12월 3일," 토요일, 일요일 밤 9시 40분 ~ 10시 40분", 16부작," 텔레비전 드라마, 코미디", MBC TV,2006-10-14 00:00:00
어둔하늘어둔새, 1990년 6월 18일 ~ 1990년 8월 14일, 매주 월·화요일 밤 9시 55분 ~ 10시 55분, 16부작, 텔레비전 드라마, 문화방송,1990-06-18 00:00:00
집으로가는길, 2009년 1월 12일 ~ 2009년 6월 26일, 월요일 ~ 금요일 밤 (시간) 8시 25분 ~ 9시, 120부작, 텔레비전 드라마, KBS 1TV,2009-01-12 00:00:00
화려한시절, 2001년 11월 3일 ~ 2002년 4월 21일," 매주 토,일 오후 8시 50분", 50부작, 드라마, SBS,2001-11-03 00:00:00
궁, 2006년 1월 11일 ~ 2006년 3월 30일," 수요일, 목요일 밤 (시간) 9시 55분 ~ 11시 5분", 24부작," 판타지, 로맨스, 코미디", 문화방송,2006-01-11 00:00:00
그대아직도꿈꾸고있는가, 2003년 3월 3일 ~ 2003년 9월 20일, 매주 월 ~ 토요일 오전 9시, 168부작, 텔레비전 드라마, 문화방송,2003-03-03 00:00:00
있을때잘해!!, 2006년 7월 17일 ~ 2007년 3월 9일, 월요일 ~ 금요일 오전 7시 50분 ~ 8시 30분, 169부작, 드라마, 문화방송,2006-07-17 00:00:00
개구리남편, 1969년 11월 17일 ~ 1970년 3월 13일, 월요일 ~ 토요일 밤 (시간) 9시 55분 ~ 10시 40분, 100부작, 드라마, MBC,1969-11-17 00:00:00
디데이, 2015년 9월 18일 ~ 2015년 11월 21일," 매주 금요일, 토요일 밤 (시간) 8시 30분", 20부작, 재난 의학 드라마, JTBC,2015-09-18 00:00:00
안투라지, 2016년 11월 4일 ~ 2016년 12월 24일, 매주 금 · 토요일 밤 11시, 16부작, 드라마, tvN,2016-11-04 00:00:00
빅이슈, 2019년 3월 6일 ~ 2019년 5월 2일," 매주 수요일, 목요일 밤 (시간) 10:00 ~ 11:10", 32부작, , SBS TV,2019-03-06 00:00:00
한강수타령, 2004년 10월 2일 ~ 2005년 3월 27일," 토요일, 일요일 저녁 7시 55분 ~ 8시 55분", 51부작, 텔레비전 드라마, MBC TV,2004-10-02 00:00:00
사랑해서남주나, 2013년 9월 28일 ~ 2014년 3월 30일," 토요일, 일요일 밤 (시간) 8시 45분 ~ 9시 55분", 50부작, 텔레비전 드라마, MBC TV(지상파),2013-09-28 00:00:00
SOS-우리학교를구해줘, 2012년 5월 20일 ~ 2012년 5월 27일, 일요일 밤 (시간) 11시 15분 ~ 12시 25분, 2부작, 텔레비전 드라마, KBS 제2TV,2012-05-20 00:00:00
원더풀마마, 2013년 4월 13일 ~ 2013년 9월 22일," 토요일, 일요일 밤 8시 45분", 48부작, 텔레비전 드라마, SBS TV,2013-04-13 00:00:00
미생, 2014년 10월 17일 ~ 2014년 12월 20일," 금요일, 토요일 밤 (시간) 8시 30분", 20부작, 텔레비전 드라마      , tvN,2014-10-17 00:00:00
오마이금비, 2016년 11월 16일 ~ 2017년 1월 11일," 매주 수, 목 밤 10:00 ~ 11:10", 16부작," 휴먼, 가족 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악", KBS 2TV,2016-11-16 00:00:00
병원선, 2017년 8월 30일 ~ 2017년 11월 2일," 매주 수요일, 목요일 밤 (시간) 10:00 ~ 11:00", 40부작," 메디컬, 휴머니즘", MBC TV,2017-08-30 00:00:00
막돼먹은영애씨16, 2017년 12월 4일 ~ 2018년 1월 23일, 매주 월 · 화요일 밤 9시 30분, 16부작, 텔레비전 드라마, tvN,2017-12-04 00:00:00
바람불어좋은날, 2010년 2월 1일 ~ 2010년 10월 1일, 월요일 ~ 금요일 밤 (시간) 8시 25분 ~ 9시, 173부작, 텔레비전 드라마, KBS 제1TV,2010-02-01 00:00:00
당신이잠든사이, 2011년 5월 16일 ~ 2011년 11월 9일, 월요일 ~ 금요일 저녁 7시 20분 ~ 8시, 120부작, 텔레비전 드라마, SBS TV,2011-05-16 00:00:00
바람꽃, 2005년 1월 31일 ~ 2005년 8월 27일, 월요일 ~ 토요일 오전 8시 5분 ~ 8시 30분, 179부작, 드라마, KBS,2005-01-31 00:00:00
사랑할때까지, 1996년 4월 1일 ~  1997년 2월 28일, 월요일 ~ 금요일 밤 (시간) 8시 30분 ~ 9시, 231부작, 텔레비전 드라마, KBS 1TV,1996-04-01 00:00:00
리셋, 2014년 8월 24일 ~ 2014년 10월 26일, 일요일 밤 11시, 10부작, 스릴러, OCN (방송),2014-08-24 00:00:00
좋은사람, 2003년 8월 27일 ~ 2003년 10월 16일," 수,목 9시 55분", 16부작, 텔레비전 드라마, MBC TV,2003-08-27 00:00:00
장미빛연인들, 2014년 10월 18일 ~ 2015년 4월 12일, 매주 주말 밤 8시 45분, 52부작, 가족 · 로맨스, MBC TV,2014-10-18 00:00:00
리갈하이, 2019년 2월 8일 ~ 2019년 3월 30일," 금요일, 토요일 밤 11시", 16부작, 드라마, JTBC,2019-02-08 00:00:00
신분을숨겨라, 2015년 6월 16일 ~ 2015년 8월 4일," 월요일, 화요일 밤 11시", 16부작," 범죄, 액션", tvN,2015-06-16 00:00:00
제4공화국, 1995년 10월 18일 ~ 1996년 1월 25일," 수요일, 목요일 밤 9시 50분 ~ 10시 50분", 30부작, 텔레비전 드라마, 문화방송,1995-10-18 00:00:00
여인천하, 2001년 2월 5일 ~ 2002년 7월 22일," 월, 화 오후 9시 55분", 150부작, 대하사극, 서울방송,2001-02-05 00:00:00
판타스틱, 2016년 9월 2일 ~ 2016년 10월 22일," 매주 금요일, 토요일 밤 (시간) 8시 30분", 16부작, 텔레비전 드라마, JTBC,2016-09-02 00:00:00
사랑과진실, 1984년 5월 12일 ~ 1985년 4월 28일, 매주 주말 밤 8:10 ~ 9:00 →매주 주말 밤 8:00 ~ 9:00, 85부작, 드라마, 문화방송,1984-05-12 00:00:00
왕가네식구들, 2013년 8월 31일 ~ 2014년 2월 16일," 토요일, 일요일 저녁 7시 55분 ~ 밤 (시간) 9시 15분", 50부작, 드라마 · 연속극, KBS 2TV,2013-08-31 00:00:00
전우치, 2012년 11월 21일 ~ 2013년 2월 7일," 수요일, 목요일 밤 (시간) 10시", 24부작," 퓨전 사극, 텔레비전 드라마     ", KBS 2TV,2012-11-21 00:00:00
보이스2, 2018년 8월 11일 ~ 2018년 9월 16일," 토요일, 일요일 밤 10시 20분", 12부작, 범죄, OCN (방송),2018-08-11 00:00:00
순결한당신, 2008년 12월 23일 ~ 2009년 5월 9일, 월요일 ~ 금요일 오전 8시 30분 ~ 9시 5분토요일 오전 8시 25분 ~ 9시, 119부작, 드라마, SBS TV,2008-12-23 00:00:00
아들의여자, 1994년 10월 19일 ~ 1995년 4월 13일," 수요일,목요일 밤 (시간) 9시 50분 ~ 10시 50분", 52부작, 드라마, 문화방송,1994-10-19 00:00:00
소문난칠공주, 2006년 4월 1일 ~ 2006년 12월 31일," 토요일, 일요일 저녁 7시 55분 ~ 9시", 80부작, 텔레비전 드라마, KBS 제2TV,2006-04-01 00:00:00
맏이, 2013년 9월 14일 ~ 2014년 3월 16일, 매주 주말 밤 8:45 ~ 9:55, 54부작, 드라마 · 연속극, JTBC,2013-09-14 00:00:00
절대그이, 2019년 5월 15일 ~ 2019년 7월 11일," 매주 수요일, 목요일 밤 (시간) 10:00 ~ 11:10", 36부작, 판타지 로코 드라마 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악, SBS TV,2019-05-15 00:00:00
검사프린세스, 2010년 3월 31일 ~ 2010년 5월 20일," 수요일, 목요일 오후 9시 55분", 16부작," 로맨스, 법률", SBS,2010-03-31 00:00:00
서동요, 2005년 9월 5일 ~ 2006년 3월 27일," 월요일, 화요일 밤 (시간) 9시 55분 ~ 11시 5분", 56부작, 퓨전사극, SBS TV,2005-09-05 00:00:00
남자는외로워, 1994년 1월 8일 ~ 1994년 8월 28일," 토,일 저녁 7시 50분", 68부작, 드라마, KBS 2TV,1994-01-08 00:00:00
엄마, 2015년 9월 5일 ~ 2016년 2월 21일, 매주 주말 밤 8:45 ~ 10:00, 50부작, 드라마, MBC TV,2015-09-05 00:00:00
피고인, 2017년 1월 23일 ~ 2017년 3월 21일," 매주 월요일, 화요일 밤 10시 ~ 11시 10분", 18부작," 범죄, 서스펜스, 복수극", SBS,2017-01-23 00:00:00
학교, 1999년 2월 22일 ~ 1999년 4월 13일, 매주 월요일 · 화요일 오후 9시 50분, 16부작, 드라마, KBS 2TV,1999-02-22 00:00:00
사랑과결혼, 1995년 4월 22일 ~ 1995년 10월 15일," 토요일, 일요일 밤 (시간) 8시 ~ 9시", 48부작, 텔레비전 드라마, 문화방송,1995-04-22 00:00:00
화랑," 2016년 12월 19일 ~ 2017년 2월 21일 (본방)
2017년 7월 19일 ~ 2017년 9월 27일 (재방)"," 매주 월요일, 화요일 밤 10:00 ~ 11:10 (본방)
목요일 , 금요일 새벽 1:05 ~ 2:15 (재방)", 20부작," 사극, 청춘, 로맨스, 드라마 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악",,2016-12-19 00:00:00
나는전설이다, 2010년 8월 2일 ~ 2010년 9월 21일," 월요일, 화요일 밤 8시 55분", 16부작, 밴드, SBS TV,2010-08-02 00:00:00
내딸서영이, 2012년 9월 15일 ~ 2013년 3월 3일, 주말 저녁 7시 55분 ~ 9시 15분, 50부작," 가족, 휴머니즘    ", KBS2TV,2012-09-15 00:00:00
러빙유, 2002년 7월 29일 ~ 2002년 9월 3일," 월요일, 화요일 밤 (시간) 9시 50분 ~ 11시", 12부작, 텔레비전 드라마, KBS 제2TV,2002-07-29 00:00:00
시간, 2018년 7월 25일 ~ 2018년 9월 20일," 매주 수요일, 목요일 밤 (시간) 10:00 ~ 11:10", 32부작, 드라마, MBC TV,2018-07-25 00:00:00
사랑은블루, 1995년 2월 8일 ~ 1995년 3월 30일," 매주 수,목 밤 8시 50분", 16부작, 드라마, 서울방송,1995-02-08 00:00:00
내인생의콩깍지, 2003년 4월 7일 ~ 2003년 5월 27일," 매주 월{{,}}화요일 밤 9시 55분", 16부작, 텔레비전 드라마, ,2003-04-07 00:00:00
드림, 2009년 7월 27일 ~ 2009년 9월 29일, SBS 월화 드라마, 20부작, 스포츠, SBS TV,2009-07-27 00:00:00
남한산성, 1986년 11월 3일 ~ 1987년 1월 27일, 매주 월·화요일 밤 9시 45분 ~ 10분 45분, 22부작," 드라마, 사극", MBC,1986-11-03 00:00:00
질투의화신, 2016년 8월 24일 ~ 2016년 11월 10일," 매주 수요일, 목요일 밤 10:00 ~ 11:10", 24부작," 드라마, 로맨스 코미디 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악", SBS,2016-08-24 00:00:00
본어게인, 2020년 4월 20일 ~ 2020년 6월 9일," 매주 월요일, 화요일 밤 10:00 ~ 11:10", 32부작, 미스터리 멜로, KBS 2TV,2020-04-20 00:00:00
산, 1997년 5월 12일 ~ 1997년 7월 15일, 매주 월·화요일 밤 9시 55분, 20부작, 산악텔레비전 드라마, 문화방송,1997-05-12 00:00:00
"런닝,구", 2010년 6월 10일 ~ 2010년 6월 17일, 문화방송 수목 미니시리즈, 4부작, 텔레비전 드라마, MBC TV,2010-06-10 00:00:00
파수꾼, 2017년 5월 22일 ~  2017년 7월 11일," 매주 월요일, 화요일 밤 10:00 ~ 11:00", 32부작, , MBC,2017-05-22 00:00:00
매직, 2004년 8월 28일 ~ 2004년 10월 17일, , 16부작, 텔레비전 드라마, SBS TV,2004-08-28 00:00:00
결혼못하는남자, 2009년 6월 15일 ~ 2009년 8월 4일," 월요일, 화요일 밤 (시간) 9시 55분 ~ 11시 5분", 16부작," 드라마, 로맨스, 코미디 ", KBS 2TV,2009-06-15 00:00:00
미스터굿바이, 2006년 5월 22일 ~ 2006년 7월 18일," 월, 화요일 오후 9시 55분", 16부작, 드라마, KBS 2TV,2006-05-22 00:00:00
삼광빌라연인들, 2020년 9월 19일 ~ 방영 예정, 매주 주말 저녁 7:55 ~ 9:15, 100부작, 텔레비전 드라마, KBS 2TV,2020-09-19 00:00:00
구르미그린달빛, 2016년 8월 22일 ~ 2016년 10월 18일," 매주 월요일, 화요일 밤 10:00 ~ 11:00", {{단순목록," 시대극, 청춘, 로맨스, 코미디 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악", KBS 2TV,2016-08-22 00:00:00
쇼트, 2018년 2월 12일 ~ 2018년 2월 20일," 월요일, 화요일 밤 9시", 4부작, 드라마, OCN (방송),2018-02-12 00:00:00
사랑이뭐길래," 1991년 11월 23일 ~ 1992년 5월 31일(본방),1997년 10월 20일 ~ 1998년 1월 2일 (재방)"," 토요일 ~ 일요일 밤 (시간) 8시 ~ 9시(본방),월요일 ~ 금요일 오전 11시 10분 ~ 11시 50분(재방)", 55부작, 드라마, MBC,1991-11-23 00:00:00
