제목,방송 기간,방송 횟수,장르,채널,제작사,극본,출연자,방송 시작
하늘바라기, 1995년 1월 2일 ~ 1995년 3월 31일, 63부작, 드라마, 한국방송공사,, 김혜수," 김소원 (배우), 김용건, 김민정 (1948년), 민욱 (배우) 외",1995-01-02 00:00:00
완전한사랑, 1990년 3월 19일 ~ 1990년 4월 10일, 8부작, 텔레비전 드라마, 문화방송, , 서영명," 하재영, 이상아, 김무생, 나영진 외",1990-03-19 00:00:00
하이스쿨러브온, 2014년 7월 11일 ~ 2014년 12월 19일, 20부작, 판타지 로맨스, KBS 제2TV (지상파)," 유병술, 최욱, 라재욱",," 남우현, 김새론, 성열 외",2014-07-11 00:00:00
오늘만같아라, 2011년 11월 21일 ~ 2012년 5월 18일, 128부작, 텔레비전 드라마, MBC TV," 아이윌미디어, 김종식", 최현경 ," 김갑수 (배우), 김미숙, 이재윤 (영화 배우)
한그루, 김승수 (배우), 양진성",2011-11-21 00:00:00
별난가족, 2016년 5월 2일 ~ 2016년 11월 25일, 149부작, 드라마, KBS 1TV, ," 손지혜, 정지은"," 이시아, 김진우 (배우), 길은혜, 신지훈 (배우) 외",2016-05-02 00:00:00
아름다운밀회, 1987년 8월 3일 ~ 1987년 8월 10일, 4부작, 텔레비전 드라마, 문화방송, , 한대희," 강문영, 변희봉, 김용남, 신충식 외",1987-08-03 00:00:00
상속자들, 2013년 10월 9일 ~ 2013년 12월 12일, 20부작," 하이틴 로맨스, 학원물 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악", SBS TV," 스튜디오 드래곤, 윤하림 윤지원 김범래", 김은숙 (작가) 이종봉, ,2013-10-09 00:00:00
낯선사람, 2013년 11월 3일, 2부작, 텔레비전 드라마, SBS, , 김기호," 정은우, 홍아름 외",2013-11-03 00:00:00
용서, 2004년 11월 1일 ~ 2005년 5월 7일, 162부작, 드라마, KBS 2TV,, 김지수 (작가)," 정보석, 정선경, 남성진, 최정윤 외",2004-11-01 00:00:00
비단향꽃무, 2001년 3월 5일 ~ 2001년 5월 8일, 20부작, 드라마, KBS 2TV,, 김지우," 박진희 (배우), 류진 (배우), 최민용 외",2001-03-05 00:00:00
행복, 1995년 4월 17일 ~ 1995년 10월 14일, , 텔레비전 드라마, 문화방송, 엠비씨씨앤아이, 최순식," 배종옥, 선우재덕, 전운, 사미자 외",1995-04-17 00:00:00
